Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
17;14;Geir Ottar Kvernstuen;;M;;;SS2;Menn senior;3:28;;;;OK
18;23;Thomas Fleischer Wathne;;M;;;SS2;Menn senior;3:40;;;;OK
19;5;Stian August Helletun Skarsten;;M;;;SS2;Menn senior;3:44;;;;OK
20;37;Gunnar Vestholm;;M;;;SS2;Menn senior;3:47;;;;OK
21;20;Peder Heyerdahl Utne;;M;;;SS2;Menn senior;3:48;;;;OK
22;26;Christian Hadler;;M;;;SS2;Menn senior;3:53;;;;OK
23;12;Petter Hofsund Christiansen;;M;;;SS2;Menn senior;3:56;;;;OK
24;35;Joachim Venberget;;M;;;SS2;Menn senior;3:57;;;;OK
25;40;Håkon Trydal;;M;;;SS2;Menn senior;4:06;;;;OK
26;17;Dimitri Georgiu;;M;;;SS2;Menn senior;4:09;;;;OK
27;31;Espen Sandengen;;M;;;SS2;Menn senior;4:17;;;;OK
28;32;Petter Salen;;M;;;SS2;Menn senior;4:20;;;;OK
29;39;Espen Devor;;M;;;SS2;Menn senior;4:22;;;;OK
30;15;Dirk Scholtholt;;M;;;SS2;Menn senior;4:39;;;;OK
31;27;Tor Erik Drangsland;;M;;;SS2;Menn senior;4:56;;;;OK
32;21;Jan Erik Heltne;;M;;;SS2;Menn senior;4:59;;;;OK
33;54;Elias Høyberg;;M;;;SS2;Menn senior;5:21;;;;OK
34;24;Christoffer Groseth;;M;;;SS2;Menn senior;5:25;;;;OK
35;29;Vegard Arnesen;;M;;;SS2;Menn senior;5:50;;;;OK
36;6;Daniel Philip Aaby Holt;;M;;;SS2;Menn senior;0;;;;DNS
37;7;Anders Iversen;;M;;;SS2;Menn senior;0;;;;DNS
38;19;Jørgen Beyer Strømquist;;M;;;SS2;Menn senior;0;;;;DNS
39;50;Jens Flakstad Vold;;M;;;SS2;Menn senior;0;;;;DNS
1;38;Jenny Lindell;;F;;;SS2;Kvinner;6:12;;;;OK
2;36;Silje Holmsen;;F;;;SS2;Kvinner;0;;;;DNS
1;53;Andreas Hegrum Askjer;;M;;;SS2;Menn junior;3:14;;;;OK
2;47;Peder Kirkebøen;;M;;;SS2;Menn junior;3:20;;;;OK
3;51;Tobias Sandengren;;M;;;SS2;Menn junior;3:30;;;;OK
4;49;Kristian Holiman;;M;;;SS2;Menn junior;3:39;;;;OK
5;48;Jonas Olsson;;M;;;SS2;Menn junior;3:42;;;;OK
6;52;Noah Holmefjord-Dalland;;M;;;SS2;Menn junior;4:24;;;;OK
1;42;Aleksander Ødegaard;;M;;;SS2;Sport;3:26;;;;OK
2;43;Henrik Mülhbradt;;M;;;SS2;Sport;3:43;;;;OK
3;45;Anders Rustberggaard;;M;;;SS2;Sport;4:26;;;;OK
4;46;Jørgen Pettersson;;M;;;SS2;Sport;4:28;;;;OK
5;44;Øyvind Stormyrbrakken;;M;;;SS2;Sport;4:28;;;;OK
6;41;Thomas Haug;;M;;;SS2;Sport;5:35;;;;OK
1;2;Emil Aamil Carlson;;M;;;SS3;Menn senior;12:37;;;;OK
2;8;Martin Svendsen;;M;;;SS3;Menn senior;13:04;;;;OK
3;30;Anders Ruud Gundersen;;M;;;SS3;Menn senior;13:13;;;;OK
4;1;Jostein Hole;;M;;;SS3;Menn senior;13:16;;;;OK
5;33;Per Christian Dahl Larsen;;M;;;SS3;Menn senior;13:49;;;;OK
6;22;Trym Flaget;;M;;;SS3;Menn senior;13:53;;;;OK
7;34;Jonas Olsson;;M;;;SS3;Menn senior;14:10;;;;OK
8;18;Peter Lomsdalen;;M;;;SS3;Menn senior;14:19;;;;OK
9;25;Tony Gjessvåg;;M;;;SS3;Menn senior;14:26;;;;OK
10;9;Gaute Havik;;M;;;SS3;Menn senior;14:28;;;;OK
11;28;Petter Fryksen Lund;;M;;;SS3;Menn senior;14:54;;;;OK
12;4;Petter Bentzen;;M;;;SS3;Menn senior;14:58;;;;OK
13;16;Fredrik Smith;;M;;;SS3;Menn senior;14:59;;;;OK
14;5;Stian August Helletun Skarsten;;M;;;SS3;Menn senior;15:18;;;;OK
15;14;Geir Ottar Kvernstuen;;M;;;SS3;Menn senior;15:25;;;;OK
16;37;Gunnar Vestholm;;M;;;SS3;Menn senior;15:46;;;;OK
17;12;Petter Hofsund Christiansen;;M;;;SS3;Menn senior;16:03;;;;OK
18;23;Thomas Fleischer Wathne;;M;;;SS3;Menn senior;16:20;;;;OK
19;26;Christian Hadler;;M;;;SS3;Menn senior;16:33;;;;OK
20;31;Espen Sandengen;;M;;;SS3;Menn senior;16:35;;;;OK
21;15;Dirk Scholtholt;;M;;;SS3;Menn senior;16:40;;;;OK
22;3;Christian Coll;;M;;;SS3;Menn senior;16:43;;;;OK
23;35;Joachim Venberget;;M;;;SS3;Menn senior;16:48;;;;OK
24;10;Simen Scharning;;M;;;SS3;Menn senior;16:48;;;;OK
25;17;Dimitri Georgiu;;M;;;SS3;Menn senior;17:10;;;;OK
26;40;Håkon Trydal;;M;;;SS3;Menn senior;17:32;;;;OK
27;13;Erlend Hegrum Askjer;;M;;;SS3;Menn senior;17:33;;;;OK
28;39;Espen Devor;;M;;;SS3;Menn senior;17:34;;;;OK
29;32;Petter Salen;;M;;;SS3;Menn senior;17:40;;;;OK
30;20;Peder Heyerdahl Utne;;M;;;SS3;Menn senior;18:39;;;;OK
31;21;Jan Erik Heltne;;M;;;SS3;Menn senior;19:26;;;;OK
32;27;Tor Erik Drangsland;;M;;;SS3;Menn senior;19:30;;;;OK
33;54;Elias Høyberg;;M;;;SS3;Menn senior;23:53;;;;OK
34;24;Christoffer Groseth;;M;;;SS3;Menn senior;23:54;;;;OK
35;29;Vegard Arnesen;;M;;;SS3;Menn senior;00:00;;;;DNF
36;6;Daniel Philip Aaby Holt;;M;;;SS3;Menn senior;0;;;;DNS
37;7;Anders Iversen;;M;;;SS3;Menn senior;0;;;;DNS
38;19;Jørgen Beyer Strømquist;;M;;;SS3;Menn senior;0;;;;DNS
39;50;Jens Flakstad Vold;;M;;;SS3;Menn senior;0;;;;DNS
1;38;Jenny Lindell;;F;;;SS3;Kvinner;22:17;;;;OK
2;36;Silje Holmsen;;F;;;SS3;Kvinner;0;;;;DNS
1;53;Andreas Hegrum Askjer;;M;;;SS3;Menn junior;13:44;;;;OK
2;47;Peder Kirkebøen;;M;;;SS3;Menn junior;15:04;;;;OK
3;49;Kristian Holiman;;M;;;SS3;Menn junior;15:57;;;;OK
4;51;Tobias Sandengren;;M;;;SS3;Menn junior;16:02;;;;OK
5;48;Jonas Olsson;;M;;;SS3;Menn junior;16:02;;;;OK
6;52;Noah Holmefjord-Dalland;;M;;;SS3;Menn junior;18:17;;;;OK
1;42;Aleksander Ødegaard;;M;;;SS3;Sport;14:06;;;;OK
2;43;Henrik Mülhbradt;;M;;;SS3;Sport;15:05;;;;OK
