"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"63";"34";"Geir Vidar";"Bjørndalen";"M";"NOR";"Romeriksåsen SK";"SS2";"Menn";"23:10.80";"12:54.80";"2014-08-23T14:39:40.8840000";"Gjerdrum";""
"64";"88";"Kristoffer";"Steen";"M";"NOR";"DRAMMEN";"SS2";"Menn";"23:25.70";"13:09.70";"2014-08-23T15:06:55.7580000";"DRAMMEN";""
"65";"14";"Pål";"Neverdal";"M";"NOR";"SK Rye sykkel";"SS2";"Menn";"23:39.10";"13:23.10";"2014-08-23T14:30:09.1120000";"OSLO";""
"66";"62";"Truls Kristian";"Syvertsen";"M";"NOR";"Drammen CK";"SS2";"Menn";"25:00.10";"14:44.10";"2014-08-23T14:55:30.1540000";"Steinberg";""
"67";"17";"Eirik";"Finseth";"M";"NOR";"Vpg.No";"SS2";"Menn";"25:15.30";"14:59.30";"2014-08-23T14:33:15.3570000";"Oppdal";""
"68";"105";"Jarstø";"Karl Håkon";"M";"NOR";"";"SS2";"Menn";"29:22.60";"19:06.60";"2014-08-23T15:21:22.6000000";"";""
"69";"12";"Yngve";"Ydersbond";"M";"NOR";"OSLO";"SS2";"Menn";"32:47.80";"22:31.80";"2014-08-23T14:38:17.8520000";"OSLO";""
"70";"81";"Simon";"Ball";"M";"GBR";"SANDSLI";"SS2";"Menn";"33:14.90";"22:58.90";"2014-08-23T15:13:14.9730000";"SANDSLI";""
"71";"60";"Thomas";"Svendsen";"M";"NOR";"OSLO";"SS2";"Menn";"37:38.10";"27:22.10";"2014-08-23T15:07:08.1880000";"OSLO";""
"72";"19";"Kristian";"Ertnes";"M";"NOR";"Bratt/ Sogn Terrengsykkel";"SS2";"Menn";"49:31.00";"39:15.00";"2014-08-23T14:58:31.0000000";"Sogndal";""
"1";"75";"Oscar";"Smith";"M";"NOR";"Kristiansands CK / Cube Action Team";"SS2";"Rookie gutter";"12:35.50";"0:00.00";"2014-08-23T14:49:35.5310000";"KRISTIANSAND S";""
"2";"52";"Sander";"Solvær";"M";"NOR";"Kristiansands CK / Cube Action Team";"SS2";"Rookie gutter";"14:49.40";"2:13.90";"2014-08-23T14:40:19.4200000";"KRISTIANSAND S";""
"3";"66";"Morten";"Ligård";"M";"NOR";"Kongsberg IF Sykkel";"SS2";"Rookie gutter";"29:02.30";"16:26.80";"2014-08-23T15:01:32.3350000";"Kongsberg";""
"1";"67";"Zea";"Walton";"F";"NOR";"KOPPANG";"SS3";"Kvinner";"4:45.70";"0:00.00";"2014-08-23T15:17:45.7750000";"KOPPANG";""
"2";"79";"Rikke";"Westvig";"F";"NOR";"Trysil SK";"SS3";"Kvinner";"5:15.60";"0:29.90";"2014-08-23T15:24:15.6050000";"SOGNDAL";""
"3";"97";"Astri";"Knudsen";"F";"NOR";"SK Rye sykkel / Team Ibis";"SS3";"Kvinner";"5:16.30";"0:30.60";"2014-08-23T15:33:16.3750000";"LEIKANGER";""
"4";"87";"Vera";"Leivsdottir";"F";"NOR";"NTNUI";"SS3";"Kvinner";"5:19.40";"0:33.70";"2014-08-23T15:28:19.4280000";"Bergen";""
"5";"96";"Hilde";"Strædet";"F";"NOR";"Kristiansands CK / Kck";"SS3";"Kvinner";"5:41.30";"0:55.60";"2014-08-23T15:33:11.3420000";"Kristiansand S";""
"6";"101";"Ragnhild";"Solheim";"F";"NOR";"Snertne Pigers Velocipedklub";"SS3";"Kvinner";"6:06.40";"1:20.70";"2014-08-23T15:36:06.4460000";"Bergen";""
"7";"68";"Stina";"Bondehagen";"F";"NOR";"OSLO";"SS3";"Kvinner";"6:25.10";"1:39.40";"2014-08-23T15:19:55.1480000";"Oslo";""
"8";"107";"Iris Almås";"Tangeraas";"F";"NOR";"Sti5";"SS3";"Kvinner";"8:29.30";"3:43.60";"2014-08-23T15:41:29.3740000";"ÅL";""
"9";"70";"Randi-Lise";"Almås";"F";"NOR";"OSLO";"SS3";"Kvinner";"8:55.40";"4:09.70";"2014-08-23T15:23:25.4760000";"OSLO";""
"10";"106";"Vibeke";"Brandvold";"F";"NOR";"Norconsult BIL";"SS3";"Kvinner";"18:04.80";"13:19.10";"2014-08-23T15:50:34.8380000";"Sandvika";""
