"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"12";"102";"Lene";"Ånonsen";"F";"NOR";"Arendal CC";"SS1";"Kvinner";"22:31.50";"11:40.60";"2014-08-23T13:13:01.5040000";"Arendal";""
"13";"103";"Beate";"Akselsen";"F";"NOR";"OSLO";"SS1";"Kvinner";"22:38.10";"11:47.20";"2014-08-23T13:13:38.1200000";"OSLO";""
"1";"3";"Svenn";"Fjeldheim";"M";"NOR";"Nedre Buskerud Nerroverlag";"SS1";"Menn";"8:06.00";"0:00.00";"2014-08-23T12:09:06.0000000";"SOLBERGELVAS";""
"2";"1";"Jostein";"Hole";"M";"NOR";"Drammen CK / Nedre Buskerud Nerroverlag";"SS1";"Menn";"8:06.60";"0:00.60";"2014-08-23T12:08:06.6510000";"Drammen";""
"3";"6";"Nils Einar";"Berget";"M";"NOR";"Hallelujamafiaen";"SS1";"Menn";"8:14.00";"0:08.00";"2014-08-23T12:10:44.0190000";"VALDERØYA";""
"4";"4";"Øyvind";"Mæhle";"M";"NOR";"Vpg Enduro";"SS1";"Menn";"8:21.00";"0:15.00";"2014-08-23T12:09:51.0000000";"OPPDAL";""
"5";"120";"Snorre";"Setrom";"M";"NOR";"";"SS1";"Menn";"8:39.70";"0:33.70";"2014-08-23T12:08:09.7640000";"";""
"6";"9";"Baard Mark";"Hellebostad";"M";"NOR";"Nesodden SK";"SS1";"Menn";"8:46.60";"0:40.60";"2014-08-23T12:12:46.6300000";"BORGEN";""
"7";"10";"Thomas";"Klingenberg";"M";"NOR";"SK Rye sykkel / Rye";"SS1";"Menn";"8:49.90";"0:43.90";"2014-08-23T12:13:19.9580000";"Oslo";""
"8";"8";"Øyvind";"Sætra";"M";"NOR";"Freeride Radicals";"SS1";"Menn";"8:50.90";"0:44.90";"2014-08-23T12:12:20.9600000";"Sogndal";""
"9";"25";"Bendik Stubstad";"Henriksen";"M";"NOR";"SK Rye sykkel / Sti5";"SS1";"Menn";"8:57.60";"0:51.60";"2014-08-23T12:20:57.6120000";"Oslo";""
"10";"26";"Trygve";"Sande";"M";"NOR";"Vpg.No";"SS1";"Menn";"9:01.40";"0:55.40";"2014-08-23T12:21:31.4290000";"Oppdal";""
"11";"12";"Yngve";"Ydersbond";"M";"NOR";"OSLO";"SS1";"Menn";"9:03.20";"0:57.20";"2014-08-23T12:14:33.2650000";"OSLO";""
"12";"7";"Aslak";"Mørstad";"M";"NOR";"Bjørndal IF Sykkel / Letth";"SS1";"Menn";"9:16.80";"1:10.80";"2014-08-23T12:12:16.8170000";"Oslo";""
"13";"38";"Pål";"Gimmestad";"M";"NOR";"Nordfjord Grovsyklarlaug";"SS1";"Menn";"9:18.90";"1:12.90";"2014-08-23T12:27:48.9570000";"BERGEN";""
"14";"17";"Eirik";"Finseth";"M";"NOR";"Vpg.No";"SS1";"Menn";"9:28.00";"1:22.00";"2014-08-23T12:17:28.0000000";"Oppdal";""
"14";"15";"Bård Sturla";"Stokke";"M";"NOR";"OSLO";"SS1";"Menn";"9:28.00";"1:22.00";"2014-08-23T12:16:28.0000000";"OSLO";""
"16";"11";"Per Morten";"Mølsted";"M";"NOR";"Oslostudentenes IK / Sportpartner";"SS1";"Menn";"9:28.40";"1:22.40";"2014-08-23T12:14:28.4780000";"Oslo";""
"17";"35";"Kjetil";"Øygard";"M";"NOR";"Leeds United";"SS1";"Menn";"9:41.10";"1:35.10";"2014-08-23T12:26:41.1580000";"Hamar";""
"18";"19";"Kristian";"Ertnes";"M";"NOR";"Bratt/ Sogn Terrengsykkel";"SS1";"Menn";"9:46.70";"1:40.70";"2014-08-23T12:18:46.7190000";"Sogndal";""
"19";"48";"Petter Andreas";"Strøm";"M";"NOR";"Sti5 / Kattadiestøgg";"SS1";"Menn";"10:00.20";"1:54.20";"2014-08-23T12:33:30.2000000";"OSLO";""
"20";"31";"Karsten";"Hjelseth";"M";"NOR";"Tsjuub";"SS1";"Menn";"10:00.70";"1:54.70";"2014-08-23T12:25:00.7820000";"Oslo";""
"21";"30";"Richard";"Toften";"M";"NOR";"Bergen MTB Klubb";"SS1";"Menn";"10:03.00";"1:57.00";"2014-08-23T12:24:33.0570000";"PARADIS";""
"22";"13";"Olav";"Aga";"M";"NOR";"Bergen MTB Klubb";"SS1";"Menn";"10:09.80";"2:03.80";"2014-08-23T12:16:09.8030000";"BERGEN";""
"23";"20";"Lars Tore";"Lesteberg";"M";"NOR";"I.L Noringen";"SS1";"Menn";"10:18.50";"2:12.50";"2014-08-23T12:19:48.5400000";"SOGNDAL";""
"24";"14";"Pål";"Neverdal";"M";"NOR";"SK Rye sykkel";"SS1";"Menn";"10:20.20";"2:14.20";"2014-08-23T12:16:50.2420000";"OSLO";""
"25";"18";"Andreas";"Drageset";"M";"NOR";"Bergen MTB Klubb / #Bergentailtapcrew";"SS1";"Menn";"10:20.70";"2:14.70";"2014-08-23T12:18:50.7710000";"Os";""
"26";"88";"Kristoffer";"Steen";"M";"NOR";"DRAMMEN";"SS1";"Menn";"10:22.00";"2:16.00";"2014-08-23T12:53:52.0120000";"DRAMMEN";""
"27";"33";"Björn";"Olsson";"M";"SWE";"ÅKERSBERGA";"SS1";"Menn";"10:23.40";"2:17.40";"2014-08-23T12:26:23.4310000";"Åkersberga";""
"28";"36";"Stian";"Rånes";"M";"NOR";"Drammen CK / -";"SS1";"Menn";"10:27.80";"2:21.80";"2014-08-23T12:27:57.8500000";"Drammen";""
"29";"57";"Nikolai";"Sele";"M";"NOR";"SANDANE";"SS1";"Menn";"10:30.80";"2:24.80";"2014-08-23T12:38:30.8440000";"SANDANE";""
"30";"42";"Daniel";"Jarstø";"M";"NOR";"Klepp Cykle Club";"SS1";"Menn";"10:38.90";"2:32.90";"2014-08-23T12:31:08.9950000";"Stavanger";""
"31";"27";"Tage Rickard";"Sundell";"M";"SWE";"SK Rye sykkel / Team Ibis";"SS1";"Menn";"10:39.50";"2:33.50";"2014-08-23T12:23:39.5360000";"LEIKANGER";""
"32";"24";"Arild";"Gravdal";"M";"NOR";"Bergen MTB Klubb";"SS1";"Menn";"10:42.20";"2:36.20";"2014-08-23T12:22:12.2810000";"Øvre Ervik";""
"33";"93";"Helge";"Tvedt";"M";"NOR";"Bergen MTB Klubb";"SS1";"Menn";"10:43.20";"2:37.20";"2014-08-23T12:56:43.2630000";"LAKSEVÅG";""
"34";"29";"Eirik Lind";"Hånes";"M";"NOR";"Romeriksåsen SK / Team Shredalot";"SS1";"Menn";"10:46.00";"2:40.00";"2014-08-23T12:24:46.0900000";"OSLO";""
"35";"22";"Anders";"Veland";"M";"NOR";"Bergen MTB Klubb / #Bergentailtapcrew";"SS1";"Menn";"10:54.50";"2:48.50";"2014-08-23T12:21:24.5850000";"SOGNDAL";""
"36";"59";"Leiv";"Tvenning";"M";"NOR";"Bergen MTB Klubb";"SS1";"Menn";"10:57.40";"2:51.40";"2014-08-23T12:39:57.4900000";"BERGEN";""
"37";"98";"Geir";"Nummedal";"M";"NOR";"Nordmarka Æksklusife Elitesykkelforening";"SS1";"Menn";"11:05.40";"2:59.40";"2014-08-23T12:59:35.4000000";"OSLO";""
"37";"39";"Christian";"Sommer-Larsen";"M";"NOR";"Bergen MTB Klubb / Sti5";"SS1";"Menn";"11:05.40";"2:59.40";"2014-08-23T12:30:05.4280000";"ÅL";""
"39";"41";"Andreas";"Hauge";"M";"NOR";"Team Hauge";"SS1";"Menn";"11:10.90";"3:04.90";"2014-08-23T12:31:10.9360000";"PORSGRUNN";""
"40";"44";"Jørgen Dølvik";"Husbyn";"M";"NOR";"Nordfjord Grovsyklarlaug";"SS1";"Menn";"11:14.00";"3:08.00";"2014-08-23T12:32:44.0540000";"Sandane";""
"41";"71";"Jonas";"Lundin";"M";"SWE";"OSLO";"SS1";"Menn";"11:17.10";"3:11.10";"2014-08-23T12:46:17.1400000";"OSLO";""
"42";"54";"Tony";"Gjessvåg";"M";"NOR";"Bergen MTB Klubb / Bergen MTB";"SS1";"Menn";"11:23.00";"3:17.00";"2014-08-23T12:37:53.0020000";"Bergen";""
"43";"61";"Thomas";"Borthen";"M";"NOR";"Hey'di";"SS1";"Menn";"11:37.90";"3:31.90";"2014-08-23T12:41:37.9230000";"Skedsmokorset";""
"44";"32";"Christian";"Coll";"M";"NOR";"Arendal CC";"SS1";"Menn";"11:44.60";"3:38.60";"2014-08-23T12:27:14.6300000";"Arendal";""
"45";"90";"Rune";"Nielsen";"M";"NOR";"OSLO";"SS1";"Menn";"11:45.30";"3:39.30";"2014-08-23T12:56:15.3650000";"OSLO";""
"46";"23";"Bjørn";"Kvande";"M";"NOR";"Gol IL - sykkelgruppe / Trailguide.No";"SS1";"Menn";"11:51.70";"3:45.70";"2014-08-23T12:22:51.7480000";"GOL";""
"47";"76";"Anders";"Klemmetsen";"M";"NOR";"Knolly";"SS1";"Menn";"11:51.80";"3:45.80";"2014-08-23T12:49:21.8000000";"OSLO";""
"48";"58";"Anders";"Søyland";"M";"NOR";"HJELLESTAD";"SS1";"Menn";"11:52.70";"3:46.70";"2014-08-23T12:40:22.7380000";"Hjellestad";""
"49";"55";"Sindre";"Hansen";"M";"NOR";"BERGEN";"SS1";"Menn";"11:53.50";"3:47.50";"2014-08-23T12:38:53.5480000";"BERGEN";""
"50";"50";"Christopher";"Svennevik";"M";"NOR";"Nordea BIL";"SS1";"Menn";"12:05.50";"3:59.50";"2014-08-23T12:36:35.5690000";"OSLOO";""
"51";"56";"Jostein";"Børresen";"M";"NOR";"Drammen CK";"SS1";"Menn";"12:06.10";"4:00.10";"2014-08-23T12:39:36.1360000";"SOLBERGELVA";""
"52";"47";"Even";"Nyhus";"M";"NOR";"NTNUI";"SS1";"Menn";"12:09.60";"4:03.60";"2014-08-23T12:35:09.6060000";"Bodø";""
"53";"43";"Niklas";"Halvorsen";"M";"NOR";"KRISTIANSAND S";"SS1";"Menn";"12:10.00";"4:04.00";"2014-08-23T12:33:10.0640000";"Kristiansand S";""
"54";"64";"Petter";"Christiansen";"M";"NOR";"RCK";"SS1";"Menn";"12:10.80";"4:04.80";"2014-08-23T12:43:40.8350000";"Bergen";""
"55";"60";"Thomas";"Svendsen";"M";"NOR";"OSLO";"SS1";"Menn";"12:11.50";"4:05.50";"2014-08-23T12:41:41.5450000";"OSLO";""
"56";"73";"Petter";"Nygaard";"M";"NOR";"OSLO";"SS1";"Menn";"12:11.80";"4:05.80";"2014-08-23T12:48:11.8230000";"Oslo";""
"57";"83";"Svenn";"Sørstrand";"M";"NOR";"NESTTUN";"SS1";"Menn";"12:16.40";"4:10.40";"2014-08-23T12:53:16.4060000";"NESTTUN";""
"58";"34";"Geir Vidar";"Bjørndalen";"M";"NOR";"Romeriksåsen SK";"SS1";"Menn";"12:22.10";"4:16.10";"2014-08-23T12:28:52.1840000";"Gjerdrum";""
"59";"100";"Bjarte";"Nordås";"M";"NOR";"Bergen MTB Klubb";"SS1";"Menn";"12:22.30";"4:16.30";"2014-08-23T13:01:52.3570000";"Fana";""
"60";"95";"Sven";"Leininger";"M";"NOR";"Bergen MTB Klubb";"SS1";"Menn";"12:23.60";"4:17.60";"2014-08-23T12:59:23.6810000";"BERGEN";""
"61";"62";"Truls Kristian";"Syvertsen";"M";"NOR";"Drammen CK";"SS1";"Menn";"12:36.20";"4:30.20";"2014-08-23T12:43:06.2260000";"Steinberg";""
"62";"99";"Øyvind Ødegaard";"Osdal";"M";"NOR";"Askøy STK Sykkel";"SS1";"Menn";"12:54.40";"4:48.40";"2014-08-23T13:01:54.4710000";"Kleppestø";""
"63";"51";"Håkon";"Eggebø";"M";"NOR";"NTNUI";"SS1";"Menn";"12:55.50";"4:49.50";"2014-08-23T12:37:55.5600000";"STAVANGER";""
"64";"91";"Morten";"Westberg";"M";"NOR";"Brembo Boyz";"SS1";"Menn";"13:15.40";"5:09.40";"2014-08-23T12:58:15.4550000";"OSLO";""
"65";"69";"Halvor";"Molvig";"M";"NOR";"BØNES";"SS1";"Menn";"13:18.70";"5:12.70";"2014-08-23T12:47:18.7430000";"Bønes";""
"66";"89";"Erik";"Noss Poissant";"M";"NOR";"SOGNDAL";"SS1";"Menn";"13:22.20";"5:16.20";"2014-08-23T12:57:22.2870000";"SOGNDAL";""
"67";"84";"Sindre";"Rasmussen";"M";"NOR";"CK Øst";"SS1";"Menn";"13:28.30";"5:22.30";"2014-08-23T12:54:58.3030000";"Fredrikstad";""
"68";"80";"Stian";"Wold";"M";"NOR";"DRAMMEN";"SS1";"Menn";"13:40.10";"5:34.10";"2014-08-23T12:53:10.1230000";"DRAMMEN";""
"69";"72";"Jesper";"Lundin";"M";"SWE";"OSLO";"SS1";"Menn";"14:18.50";"6:12.50";"2014-08-23T12:49:48.5220000";"Oslo";""
"70";"92";"Nikolai";"Nygaard";"M";"NOR";"Team Sigg";"SS1";"Menn";"14:50.40";"6:44.40";"2014-08-23T13:00:20.4260000";"Bergen";""
"71";"81";"Simon";"Ball";"M";"GBR";"SANDSLI";"SS1";"Menn";"16:00.70";"7:54.70";"2014-08-23T12:56:00.7370000";"SANDSLI";""
"72";"105";"Jarstø";"Karl Håkon";"M";"NOR";"";"SS1";"Menn";"17:09.40";"9:03.40";"2014-08-23T13:09:09.4390000";"";""
"73";"37";"Tarjei";"Hofset";"M";"NOR";"Ntnui";"SS1";"Menn";"23:53.10";"15:47.10";"2014-08-23T12:41:53.1680000";"TRONDHEIM";""
"74";"77";"Håvard";"Rygg";"M";"NOR";"Bergen MTB Klubb";"SS1";"Menn";"26:21.20";"18:15.20";"2014-08-23T13:04:21.2900000";"BERGEN";""
"75";"49";"Øyvind";"Karlsen";"M";"NOR";"Sti5";"SS1";"Menn";"27:19.30";"19:13.30";"2014-08-23T12:51:19.3510000";"ÅL";""
"76";"28";"Johannes";"LUND";"M";"NOR";"Sogn CK";"SS1";"Menn";"32:08.00";"24:02.00";"2014-08-23T12:45:38.0750000";"Kaupanger";""
"77";"40";"Ola";"Alsterholm";"M";"NOR";"Trysil SK / Team TDS";"SS1";"Menn";"56:53.50";"48:47.50";"2014-08-23T13:16:23.5450000";"SOGNDAL";""
"1";"75";"Oscar";"Smith";"M";"NOR";"Kristiansands CK / Cube Action Team";"SS1";"Rookie gutter";"9:20.00";"0:00.00";"2014-08-23T12:46:20.0330000";"KRISTIANSAND S";""
"2";"52";"Sander";"Solvær";"M";"NOR";"Kristiansands CK / Cube Action Team";"SS1";"Rookie gutter";"10:27.30";"1:07.30";"2014-08-23T12:35:57.3950000";"KRISTIANSAND S";""
"3";"66";"Morten";"Ligård";"M";"NOR";"Kongsberg IF Sykkel";"SS1";"Rookie gutter";"12:20.40";"3:00.40";"2014-08-23T12:44:50.4500000";"Kongsberg";""
"4";"86";"Aleksander";"Østerhus";"M";"NOR";"Kristiansands CK";"SS1";"Rookie gutter";"14:47.60";"5:27.60";"2014-08-23T12:57:17.6500000";"KRISTIANSAND S";""
"1";"68";"Stina";"Bondehagen";"F";"NOR";"OSLO";"SS2";"Kvinner";"16:42.60";"0:00.00";"2014-08-23T14:50:12.6880000";"Oslo";""
"2";"67";"Zea";"Walton";"F";"NOR";"KOPPANG";"SS2";"Kvinner";"17:11.50";"0:28.90";"2014-08-23T14:50:11.5740000";"KOPPANG";""
"3";"87";"Vera";"Leivsdottir";"F";"NOR";"NTNUI";"SS2";"Kvinner";"18:33.60";"1:51.00";"2014-08-23T15:01:33.6460000";"Bergen";""
"4";"96";"Hilde";"Strædet";"F";"NOR";"Kristiansands CK / Kck";"SS2";"Kvinner";"18:46.80";"2:04.20";"2014-08-23T15:06:16.8770000";"Kristiansand S";""
"5";"107";"Iris Almås";"Tangeraas";"F";"NOR";"Sti5";"SS2";"Kvinner";"20:21.60";"3:39.00";"2014-08-23T15:13:21.6670000";"ÅL";""
"6";"101";"Ragnhild";"Solheim";"F";"NOR";"Snertne Pigers Velocipedklub";"SS2";"Kvinner";"22:09.80";"5:27.20";"2014-08-23T15:12:09.8610000";"Bergen";""
"7";"97";"Astri";"Knudsen";"F";"NOR";"SK Rye sykkel / Team Ibis";"SS2";"Kvinner";"22:14.10";"5:31.50";"2014-08-23T15:10:14.1910000";"LEIKANGER";""
"8";"79";"Rikke";"Westvig";"F";"NOR";"Trysil SK";"SS2";"Kvinner";"26:28.70";"9:46.10";"2014-08-23T15:05:28.7470000";"SOGNDAL";""
"9";"70";"Randi-Lise";"Almås";"F";"NOR";"OSLO";"SS2";"Kvinner";"28:11.40";"11:28.80";"2014-08-23T15:02:41.4670000";"OSLO";""
"10";"106";"Vibeke";"Brandvold";"F";"NOR";"Norconsult BIL";"SS2";"Kvinner";"29:23.70";"12:41.10";"2014-08-23T15:21:53.7990000";"Sandvika";""
"11";"102";"Lene";"Ånonsen";"F";"NOR";"Arendal CC";"SS2";"Kvinner";"31:48.10";"15:05.50";"2014-08-23T15:22:18.1710000";"Arendal";""
"12";"103";"Beate";"Akselsen";"F";"NOR";"OSLO";"SS2";"Kvinner";"35:43.40";"19:00.80";"2014-08-23T15:26:43.4500000";"OSLO";""
"1";"1";"Jostein";"Hole";"M";"NOR";"Drammen CK / Nedre Buskerud Nerroverlag";"SS2";"Menn";"10:16.00";"0:00.00";"2014-08-23T14:10:16.0000000";"Drammen";""
"2";"3";"Svenn";"Fjeldheim";"M";"NOR";"Nedre Buskerud Nerroverlag";"SS2";"Menn";"10:39.10";"0:23.10";"2014-08-23T14:11:39.1220000";"SOLBERGELVAS";""
"3";"6";"Nils Einar";"Berget";"M";"NOR";"Hallelujamafiaen";"SS2";"Menn";"10:51.50";"0:35.50";"2014-08-23T14:13:21.5970000";"VALDERØYA";""
"4";"4";"Øyvind";"Mæhle";"M";"NOR";"Vpg Enduro";"SS2";"Menn";"10:55.00";"0:39.00";"2014-08-23T14:12:25.0790000";"OPPDAL";""
"5";"10";"Thomas";"Klingenberg";"M";"NOR";"SK Rye sykkel / Rye";"SS2";"Menn";"11:35.90";"1:19.90";"2014-08-23T14:16:05.9370000";"Oslo";""
"6";"9";"Baard Mark";"Hellebostad";"M";"NOR";"Nesodden SK";"SS2";"Menn";"12:03.80";"1:47.80";"2014-08-23T14:16:03.8440000";"BORGEN";""
"7";"7";"Aslak";"Mørstad";"M";"NOR";"Bjørndal IF Sykkel / Letth";"SS2";"Menn";"12:03.90";"1:47.90";"2014-08-23T14:15:03.9380000";"Oslo";""
"8";"38";"Pål";"Gimmestad";"M";"NOR";"Nordfjord Grovsyklarlaug";"SS2";"Menn";"12:06.80";"1:50.80";"2014-08-23T14:30:36.8920000";"BERGEN";""
"9";"120";"Snorre";"Setrom";"M";"NOR";"";"SS2";"Menn";"12:11.80";"1:55.80";"2014-08-23T14:11:41.8200000";"";""
"10";"25";"Bendik Stubstad";"Henriksen";"M";"NOR";"SK Rye sykkel / Sti5";"SS2";"Menn";"12:12.60";"1:56.60";"2014-08-23T14:24:12.6510000";"Oslo";""
"11";"26";"Trygve";"Sande";"M";"NOR";"Vpg.No";"SS2";"Menn";"12:16.30";"2:00.30";"2014-08-23T14:24:46.3760000";"Oppdal";""
"12";"8";"Øyvind";"Sætra";"M";"NOR";"Freeride Radicals";"SS2";"Menn";"12:19.00";"2:03.00";"2014-08-23T14:15:49.0760000";"Sogndal";""
"13";"15";"Bård Sturla";"Stokke";"M";"NOR";"OSLO";"SS2";"Menn";"12:27.10";"2:11.10";"2014-08-23T14:19:27.1340000";"OSLO";""
"14";"11";"Per Morten";"Mølsted";"M";"NOR";"Oslostudentenes IK / Sportpartner";"SS2";"Menn";"12:38.10";"2:22.10";"2014-08-23T14:17:38.1320000";"Oslo";""
"15";"33";"Björn";"Olsson";"M";"SWE";"ÅKERSBERGA";"SS2";"Menn";"12:39.50";"2:23.50";"2014-08-23T14:28:39.5360000";"Åkersberga";""
"16";"13";"Olav";"Aga";"M";"NOR";"Bergen MTB Klubb";"SS2";"Menn";"13:23.70";"3:07.70";"2014-08-23T14:19:23.7310000";"BERGEN";""
"17";"24";"Arild";"Gravdal";"M";"NOR";"Bergen MTB Klubb";"SS2";"Menn";"14:05.30";"3:49.30";"2014-08-23T14:25:35.3670000";"Øvre Ervik";""
"18";"48";"Petter Andreas";"Strøm";"M";"NOR";"Sti5 / Kattadiestøgg";"SS2";"Menn";"14:06.60";"3:50.60";"2014-08-23T14:37:36.6580000";"OSLO";""
"19";"20";"Lars Tore";"Lesteberg";"M";"NOR";"I.L Noringen";"SS2";"Menn";"14:12.00";"3:56.00";"2014-08-23T14:23:42.0840000";"SOGNDAL";""
"20";"71";"Jonas";"Lundin";"M";"SWE";"OSLO";"SS2";"Menn";"14:13.40";"3:57.40";"2014-08-23T14:49:13.4290000";"OSLO";""
"21";"27";"Tage Rickard";"Sundell";"M";"SWE";"SK Rye sykkel / Team Ibis";"SS2";"Menn";"14:17.80";"4:01.80";"2014-08-23T14:27:17.8640000";"LEIKANGER";""
"22";"54";"Tony";"Gjessvåg";"M";"NOR";"Bergen MTB Klubb / Bergen MTB";"SS2";"Menn";"14:25.00";"4:09.00";"2014-08-23T14:40:55.0960000";"Bergen";""
"23";"36";"Stian";"Rånes";"M";"NOR";"Drammen CK / -";"SS2";"Menn";"14:27.80";"4:11.80";"2014-08-23T14:31:57.8330000";"Drammen";""
"24";"22";"Anders";"Veland";"M";"NOR";"Bergen MTB Klubb / #Bergentailtapcrew";"SS2";"Menn";"14:40.20";"4:24.20";"2014-08-23T14:25:10.2420000";"SOGNDAL";""
"25";"42";"Daniel";"Jarstø";"M";"NOR";"Klepp Cykle Club";"SS2";"Menn";"14:41.60";"4:25.60";"2014-08-23T14:35:11.6870000";"Stavanger";""
"26";"18";"Andreas";"Drageset";"M";"NOR";"Bergen MTB Klubb / #Bergentailtapcrew";"SS2";"Menn";"14:45.40";"4:29.40";"2014-08-23T14:23:15.4030000";"Os";""
"27";"30";"Richard";"Toften";"M";"NOR";"Bergen MTB Klubb";"SS2";"Menn";"14:55.60";"4:39.60";"2014-08-23T14:29:25.6050000";"PARADIS";""
