"Rank";"Startnumber";"Firstname";"Surname";"Gender";"Nat";"Club";"Race";"Class";"Total Time";"Diff Winner";"TimeOfDay";"City";""
"90";"76";"Øyvind";"Horgen";"M";"NOR";"Sande SpKl Sykkel";"FE 1";"M Senior";"16:12.0";"4:37.0";"2015-05-23T11:53:42.9620000";"SANDE I VESTFOLD";""
"91";"151";"Iver";"Skustad";"M";"NOR";"Drammen CK";"FE 1";"M Senior";"16:14.0";"4:39.0";"2015-05-23T12:31:14.7880000";"Drammen";""
"92";"172";"Morten";"Hofstad";"M";"NOR";"Nesset CK";"FE 1";"M Senior";"16:16.0";"4:41.0";"2015-05-23T12:41:46.5650000";"Oslo";""
"93";"36";"Petter";"Saleen";"M";"NOR";"SK Rye sykkel";"FE 1";"M Senior";"16:20.0";"4:45.0";"2015-05-23T11:33:50.8100000";"";""
"94";"117";"Joakim";"Karlsson";"M";"NOR";"OSLO";"FE 1";"M Senior";"16:36.0";"5:01.0";"2015-05-23T12:14:36.0490000";"OSLO";""
"95";"175";"Sevat";"Molven";"M";"NOR";"HOKKSUND";"FE 1";"M Senior";"16:49.0";"5:14.0";"2015-05-23T12:43:49.7390000";"HOKKSUND";""
"96";"93";"Morten";"Westberg";"M";"NOR";"OSLO";"FE 1";"M Senior";"16:52.0";"5:17.0";"2015-05-23T12:02:52.3980000";"OSLO";""
"97";"127";"Audun";"FOYN";"M";"NOR";"SK Rye sykkel";"FE 1";"M Senior";"16:57.0";"5:22.0";"2015-05-23T12:19:57.1700000";"OSLO";""
"98";"103";"Per Anders Myre";"Ulsaker";"M";"NOR";"BERGEN";"FE 1";"M Senior";"17:00.0";"5:25.0";"2015-05-23T12:08:00.1370000";"BERGEN";""
"99";"141";"Andreas";"Grytnes";"M";"NOR";"OSLO";"FE 1";"M Senior";"17:01.0";"5:26.0";"2015-05-23T12:27:01.1350000";"OSLO";""
"100";"196";"Andreas";"Hegrum";"M";"NOR";"HORTEN";"FE 1";"M Senior";"17:02.0";"5:27.0";"2015-05-23T12:54:32.8940000";"Horten";""
"101";"193";"Martin";"Høydahl";"M";"NOR";"Sandnessjøen OCK";"FE 1";"M Senior";"17:11.0";"5:36.0";"2015-05-23T12:53:11.8350000";"Bergen";""
"102";"102";"Håvard";"Arnstad";"M";"NOR";"SK Rye sykkel";"FE 1";"M Senior";"17:16.0";"5:41.0";"2015-05-23T12:07:46.0360000";"Oslo";""
"103";"119";"Magnus";"Grönberg";"M";"NOR";"Hemsedal IL Sykkel";"FE 1";"M Senior";"17:31.0";"5:56.0";"2015-05-23T12:16:31.5880000";"Hemsedal";""
"104";"188";"Kristoffer";"Berdal";"M";"NOR";"IK Hero";"FE 1";"M Senior";"17:32.0";"5:57.0";"2015-05-23T12:51:02.3570000";"Oslo";""
"105";"112";"Christoffer";"Schack";"M";"NOR";"FMC Technologies";"FE 1";"M Senior";"17:33.0";"5:58.0";"2015-05-23T12:13:03.3510000";"KONGSBERG";""
"106";"177";"Daniel";"Holt";"M";"NOR";"OSLO";"FE 1";"M Senior";"17:34.0";"5:59.0";"2015-05-23T12:45:34.4120000";"OSLO";""
"107";"87";"Sindre";"Rasmussen";"M";"NOR";"Gresvik IF";"FE 1";"M Senior";"17:37.0";"6:02.0";"2015-05-23T12:00:37.3570000";"Fredrikstad";""
"108";"166";"Ole";"Moksnes";"M";"NOR";"OSLO";"FE 1";"M Senior";"17:43.0";"6:08.0";"2015-05-23T12:40:13.9900000";"OSLO";""
"108";"142";"Runar";"Sagerud";"M";"NOR";"Kolbotn SK";"FE 1";"M Senior";"17:43.0";"6:08.0";"2015-05-23T12:28:13.8450000";"Oppegård";""
"110";"192";"Jeff";"Webb";"M";"NOR";"IL Stjørdals-Blink";"FE 1";"M Senior";"17:48.0";"6:13.0";"2015-05-23T12:53:18.0000000";"Stjørdal";""
"111";"110";"Even";"Ingjær";"M";"NOR";"OSLO";"FE 1";"M Senior";"17:49.0";"6:14.0";"2015-05-23T12:12:19.4910000";"Oslo";""
"112";"149";"Martin";"Pedersen";"M";"NOR";"Skeid / Letth";"FE 1";"M Senior";"17:51.0";"6:16.0";"2015-05-23T12:31:51.4380000";"OSLO";""
"113";"134";"Lars Markus";"Sannebro";"M";"NOR";"Sogn CK";"FE 1";"M Senior";"17:56.0";"6:21.0";"2015-05-23T12:24:26.9640000";"Kaupanger";""
"114";"140";"Andreas";"Vollheim";"M";"NOR";"Bogafjell Sykleklubb";"FE 1";"M Senior";"18:04.0";"6:29.0";"2015-05-23T12:27:34.0330000";"HAFRSFJORD";""
"115";"123";"Lars-Petter";"Holm";"M";"NOR";"Eiker-Kvikk sykkel";"FE 1";"M Senior";"18:11.0";"6:36.0";"2015-05-23T12:19:11.7890000";"HOKKSUND";""
"116";"91";"Ola";"Engene";"M";"NOR";"Foreningen Frikransen";"FE 1";"M Senior";"18:31.0";"6:56.0";"2015-05-23T12:03:31.6680000";"VESTFOSSEN";""
"116";"148";"Morten";"Ligård";"M";"NOR";"Kongsberg IF Sykkel";"FE 1";"M Senior";"18:31.0";"6:56.0";"2015-05-23T12:32:01.7160000";"Kongsberg";""
"118";"153";"Tom";"Ruud";"M";"NOR";"Lillehammer CK / Birk Sport AS";"FE 1";"M Senior";"18:46.0";"7:11.0";"2015-05-23T12:34:46.3490000";"Lillehammer";""
"119";"160";"Tor Arne";"Holen";"M";"NOR";"TORP";"FE 1";"M Senior";"18:57.0";"7:22.0";"2015-05-23T12:38:27.0780000";"TORP";""
"120";"179";"Daniel";"Richardson";"M";"NOR";"HAFRSFJORD";"FE 1";"M Senior";"18:59.0";"7:24.0";"2015-05-23T12:47:59.0800000";"HAFRSFJORD";""
"121";"143";"Åsmund";"Isaksen";"M";"NOR";"LANGESUND";"FE 1";"M Senior";"19:03.0";"7:28.0";"2015-05-23T12:30:03.8340000";"Langesund";""
"122";"121";"Espen";"Karlsen";"M";"NOR";"Procon";"FE 1";"M Senior";"19:05.0";"7:30.0";"2015-05-23T12:19:05.4540000";"Stavanger";""
"123";"176";"Gavin";"Steder";"M";"NOR";"SKJETTEN";"FE 1";"M Senior";"19:07.0";"7:32.0";"2015-05-23T12:46:37.1530000";"SKJETTEN";""
"124";"20";"Morten";"Mølsted";"M";"NOR";"Oslostudentenes IK / Trail Cartel";"FE 1";"M Senior";"19:08.0";"7:33.0";"2015-05-23T11:28:38.4000000";"Oslo";""
"125";"107";"Jamieson";"Pothecary";"M";"NOR";"OSLO";"FE 1";"M Senior";"19:15.0";"7:40.0";"2015-05-23T12:12:15.1970000";"Oslo";""
"126";"190";"Stig Carlson";"Strandhagen";"M";"NOR";"BORGEN";"FE 1";"M Senior";"19:20.0";"7:45.0";"2015-05-23T12:53:50.6760000";"BORGEN";""
"127";"129";"Marius";"Rønningen";"M";"NOR";"Brødrene Dahl AS";"FE 1";"M Senior";"19:27.0";"7:52.0";"2015-05-23T12:23:27.6260000";"SIGGERUD";""
"128";"163";"Thomas";"Paulsen";"M";"NOR";"LYSAKER";"FE 1";"M Senior";"19:36.0";"8:01.0";"2015-05-23T12:40:36.8500000";"Lysaker";""
"128";"195";"Nils Mo";"Storaas";"M";"NOR";"BERGEN";"FE 1";"M Senior";"19:36.0";"8:01.0";"2015-05-23T12:56:36.3520000";"Bergen";""
"130";"170";"Ådne";"Skjelstad";"M";"NOR";"OSLO";"FE 1";"M Senior";"19:51.0";"8:16.0";"2015-05-23T12:44:21.2560000";"oslo";""
"131";"161";"Lars Kristian";"Günther";"M";"NOR";"Skjeberg CK";"FE 1";"M Senior";"20:01.0";"8:26.0";"2015-05-23T12:40:01.0850000";"DEGERNES";""
"132";"118";"Kjetil";"Haugersveen";"M";"NOR";"Eidanger IL / Luftetur";"FE 1";"M Senior";"21:36.0";"10:01.0";"2015-05-23T12:20:06.8340000";"Porsgrunn";""
"133";"171";"Magne";"Ilsaas";"M";"NOR";"OSLO";"FE 1";"M Senior";"21:45.0";"10:10.0";"2015-05-23T12:46:45.1310000";"OSLO";""
"134";"14";"Michael Overbeck";"Cook";"M";"NOR";"IK Hero";"FE 1";"M Senior";"22:08.0";"10:33.0";"2015-05-23T11:28:38.4300000";"Eidsvoll";""
"135";"187";"Anders";"Rustberggard";"M";"NOR";"FORNEBU";"FE 1";"M Senior";"22:27.0";"10:52.0";"2015-05-23T12:55:27.3850000";"Fornebu";""
"136";"180";"Sondre";"Aannestad";"M";"NOR";"SELLEBAKK";"FE 1";"M Senior";"24:14.0";"12:39.0";"2015-05-23T12:53:44.9190000";"SELLEBAKK";""
