Rank;Startnumber;Firstname;Surname;Gender;Nat;Club;Race;Class;Total Time;Diff Winner;TimeOfDay;City;Status
72;;Petter Fyksen Lund;;M;;;SS1;Menn senior;10:55;;;;OK
73;;Baard Hellebostad;;M;;;SS1;Menn senior;10:57;;;;OK
74;;Geir Ottar Kvernstuen;;M;;;SS1;Menn senior;10:57;;;;OK
75;;Fredrik Smith;;M;;;SS1;Menn senior;10:59;;;;OK
76;;Nils Mo Storaas;;M;;;SS1;Menn senior;11:04;;;;OK
77;;Thomas Ramstad;;M;;;SS1;Menn senior;11:05;;;;OK
78;;Gaute Birkeland Kjellsen;;M;;;SS1;Menn senior;11:09;;;;OK
79;;Lasse Storholt;;M;;;SS1;Menn senior;11:12;;;;OK
80;;Herman Ingebretsen;;M;;;SS1;Menn senior;11:16;;;;OK
81;;Petter Anthonsen;;M;;;SS1;Menn senior;11:20;;;;OK
82;;Fredrik Lingvall;;M;;;SS1;Menn senior;11:35;;;;OK
83;;Kristian Hauglum;;M;;;SS1;Menn senior;11:52;;;;OK
84;;Stian Carlsen;;M;;;SS1;Menn senior;12:06;;;;OK
85;;Geir Bjørndalen;;M;;;SS1;Menn senior;12:08;;;;OK
86;;Anders Disen;;M;;;SS1;Menn senior;12:12;;;;OK
87;;Oskar Brodin;;M;;;SS1;Menn senior;12:23;;;;OK
88;;Per-Ivar Weydahl;;M;;;SS1;Menn senior;12:23;;;;OK
89;;Aleksander Østerhus;;M;;;SS1;Menn senior;12:39;;;;OK
90;;Henrik Moberg;;M;;;SS1;Menn senior;12:56;;;;OK
91;;Fredrik Tøien;;M;;;SS1;Menn senior;13:09;;;;OK
92;;Erik Nilsen;;M;;;SS1;Menn senior;13:16;;;;OK
93;;Tommy Strandvold;;M;;;SS1;Menn senior;13:43;;;;OK
94;;Mats Kristian Svendsen;;M;;;SS1;Menn senior;14:34;;;;OK
95;;Hans Christian Kåsen;;M;;;SS1;Menn senior;14:34;;;;OK
96;;Jan Henrik Høilund;;M;;;SS1;Menn senior;14:40;;;;OK
97;;Marcin Żelazo;;M;;;SS1;Menn senior;15:17;;;;OK
98;;Marcin Cypryjan;;M;;;SS1;Menn senior;15:22;;;;OK
99;;Håvard Rygg;;M;;;SS1;Menn senior;15:24;;;;OK
100;;Jon Vegar Aga Kjærgaard;;M;;;SS1;Menn senior;17:41;;;;OK
101;;Adrian Czajkowski;;M;;;SS1;Menn senior;17:55;;;;OK
102;;Henning Hovland;;M;;;SS1;Menn senior;20:08;;;;OK
103;;Håkon Døsrønningen;;M;;;SS1;Menn senior;24:15;;;;OK
104;;Harald Andreas Holmefjord;;M;;;SS1;Menn senior;24:16;;;;OK
105;;Simen Aaslestad;;M;;;SS1;Menn senior;26:39;;;;OK
1;;Zakarias Johansen;;M;;;SS2;Menn senior;05:45;;;;OK
2;;Espen Bergli-johnsen;;M;;;SS2;Menn senior;05:56;;;;OK
3;;Adrian Hilde;;M;;;SS2;Menn senior;05:56;;;;OK
4;;Lars Sandviken;;M;;;SS2;Menn senior;06:03;;;;OK
5;;Ole Christian Fagerli;;M;;;SS2;Menn senior;06:03;;;;OK
6;;Preben Alexander Nøkleby;;M;;;SS2;Menn senior;06:09;;;;OK
7;;Albin Littorin-Sandbu;;M;;;SS2;Menn senior;06:09;;;;OK
8;;Jon Bokrantz;;M;;;SS2;Menn senior;06:11;;;;OK
9;;Anton Karlsson;;M;;;SS2;Menn senior;06:12;;;;OK
10;;Joar Sørvik Solem;;M;;;SS2;Menn senior;06:19;;;;OK
11;;Magnus Sørli;;M;;;SS2;Menn senior;06:20;;;;OK
12;;Bård Stærkebye Pettersen;;M;;;SS2;Menn senior;06:22;;;;OK
13;;Baard Hellebostad;;M;;;SS2;Menn senior;06:24;;;;OK
14;;Oscar Schiøtz Smith;;M;;;SS2;Menn senior;06:25;;;;OK
15;;Simon Johansson;;M;;;SS2;Menn senior;06:26;;;;OK
16;;Nicklas Fastegård;;M;;;SS2;Menn senior;06:27;;;;OK
17;;Manfred Kronbrink;;M;;;SS2;Menn senior;06:28;;;;OK
18;;Aslak Mørstad;;M;;;SS2;Menn senior;06:29;;;;OK
19;;Bjørn Ballangrud;;M;;;SS2;Menn senior;06:32;;;;OK
20;;Pål Nakken;;M;;;SS2;Menn senior;06:33;;;;OK
21;;Björn Larsson;;M;;;SS2;Menn senior;06:40;;;;OK
22;;Øyvind Sætra;;M;;;SS2;Menn senior;06:40;;;;OK
23;;Erlend Hegrum Askjer;;M;;;SS2;Menn senior;06:41;;;;OK
24;;Magnus Grönberg;;M;;;SS2;Menn senior;06:44;;;;OK
25;;Niklas Halvorsen;;M;;;SS2;Menn senior;06:44;;;;OK
26;;Stig Ove Simensen;;M;;;SS2;Menn senior;06:45;;;;OK
27;;Michael Cook;;M;;;SS2;Menn senior;06:47;;;;OK
28;;Anders Veland;;M;;;SS2;Menn senior;06:48;;;;OK
29;;Fredrik Smith;;M;;;SS2;Menn senior;06:49;;;;OK
30;;Morgan Bakken;;M;;;SS2;Menn senior;06:51;;;;OK
31;;Pål Grotnes;;M;;;SS2;Menn senior;06:52;;;;OK
32;;Ole André Tveit;;M;;;SS2;Menn senior;06:52;;;;OK
33;;Joachim Ski Torp;;M;;;SS2;Menn senior;06:53;;;;OK
34;;Severin Poppe;;M;;;SS2;Menn senior;06:54;;;;OK
35;;Jørgen Heir;;M;;;SS2;Menn senior;06:56;;;;OK
36;;Martin Haugo;;M;;;SS2;Menn senior;06:57;;;;OK
37;;Øyvind Hem;;M;;;SS2;Menn senior;06:57;;;;OK
38;;Henrik Ulleland;;M;;;SS2;Menn senior;06:58;;;;OK
39;;Simen Aaslestad;;M;;;SS2;Menn senior;07:00;;;;OK
40;;Per Henrik Thorp;;M;;;SS2;Menn senior;07:02;;;;OK
41;;Michal Wiecyk;;M;;;SS2;Menn senior;07:02;;;;OK
42;;Thomas Henriksen;;M;;;SS2;Menn senior;07:04;;;;OK
43;;Hans Jørgen Kvåle;;M;;;SS2;Menn senior;07:04;;;;OK
44;;Geir Ottar Kvernstuen;;M;;;SS2;Menn senior;07:04;;;;OK
45;;Andreas Gjærde;;M;;;SS2;Menn senior;07:05;;;;OK
46;;Jonas Franzén;;M;;;SS2;Menn senior;07:06;;;;OK
47;;Daniel Bengtsson;;M;;;SS2;Menn senior;07:07;;;;OK
48;;Torfinn Dahl;;M;;;SS2;Menn senior;07:07;;;;OK
49;;Ronnie Hansen;;M;;;SS2;Menn senior;07:07;;;;OK
50;;Andre Aamodt;;M;;;SS2;Menn senior;07:08;;;;OK
51;;Jon Vegar Aga Kjærgaard;;M;;;SS2;Menn senior;07:09;;;;OK
52;;Marcio Franco;;M;;;SS2;Menn senior;07:10;;;;OK
53;;Kenneth Bjørseth;;M;;;SS2;Menn senior;07:10;;;;OK
54;;Frank Jonny Brenno;;M;;;SS2;Menn senior;07:12;;;;OK
55;;Tom Custers Nedrebø;;M;;;SS2;Menn senior;07:14;;;;OK
56;;Kristian Hauglum;;M;;;SS2;Menn senior;07:17;;;;OK
57;;Mark Basso;;M;;;SS2;Menn senior;07:22;;;;OK
58;;Sindre Lidsheim;;M;;;SS2;Menn senior;07:24;;;;OK
59;;Ola Myklatun Krosness;;M;;;SS2;Menn senior;07:24;;;;OK
60;;Lars Amdal;;M;;;SS2;Menn senior;07:30;;;;OK
61;;Rune Tangen;;M;;;SS2;Menn senior;07:30;;;;OK
62;;Petter Fyksen Lund;;M;;;SS2;Menn senior;07:31;;;;OK
63;;Anders Kielland;;M;;;SS2;Menn senior;07:33;;;;OK
64;;Petter Anthonsen;;M;;;SS2;Menn senior;07:33;;;;OK
65;;Martin Myrvang;;M;;;SS2;Menn senior;07:34;;;;OK
66;;Leiv Tvenning;;M;;;SS2;Menn senior;07:34;;;;OK
67;;Magnus Kalstad Forseth;;M;;;SS2;Menn senior;07:35;;;;OK
68;;Harald Brekke;;M;;;SS2;Menn senior;07:36;;;;OK
69;;Gaute Birkeland Kjellsen;;M;;;SS2;Menn senior;07:36;;;;OK
70;;Espen Kebely;;M;;;SS2;Menn senior;07:37;;;;OK
71;;Thomas Ramstad;;M;;;SS2;Menn senior;07:38;;;;OK
72;;Viktor Linnerö;;M;;;SS2;Menn senior;07:40;;;;OK
